Budget currency,Date,Week,Month,Year,Hour,Advertiser account name,Advertiser account ID,Ad product,Portfolio ID,Portfolio name,Campaign ID,Campaign name,Campaign budget amount,Campaign bid strategy,Campaign rule amount,Campaign cost type,Campaign delivery status,Ad group ID,Ad group name,Ad group delivery status,Advertised product ID,Advertised product SKU,Placement Name,Placement size,Site or app,Placement classification,Target value,Target match type,Search term,Matched target,Impressions,Invalid impression rate,Clicks,Invalid clicks,Viewable CTR (vCTR),CTR,CPC,Viewable rate,Viewable impressions,Total cost,Purchases (all views),Sales (all views),Units sold (all views),Cost per purchase (all views),Purchase rate (all views),Purchase rate over clicks (all views),ROAS (all views),Purchases (new to brand),Purchase rate (new to brand),Detail page views,"Purchases (halo, all views)","Sales (halo, all views)","Units sold (halo, all views)",Detail page view rate,Add to cart,Add to list,Long-term sales,Long-term ROAS,Purchases (combined),ROAS (combined),ROAS from clicks (combined),Sales (combined),Units sold (combined),Cost per purchase (combined),Purchase rate (combined)
USD,"Jan 26, 2026",5,1,2026,10,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,141786303486095,B074T2FWJY - Heart Tea Infuser,"=""559097248370412""",SP Kw Br Tos tea+infusers - B074T2FWJY,5,legacy,,CPC,ENABLED,"=""552327702284296""",SP Kw Br tea+infusers - B074T2FWJY,ENABLED,B074T2FWJY,LB-SRU9-1SJI,,,,Detail Page on-Amazon,tea+infusers,BROAD,tea infuser spoon bulk,tea infuser spoon bulk,0,,0,0,,,,,0,0.0,1,28.05,3,0.0,,,,0,,0,0,0.0,0,,0,0,28.05,,1,,,28.05,3,0.0,
USD,"Jan 20, 2026",4,1,2026,9,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Brands,220004347573435,SB - Product Collections Ketar,"=""52856964365632""",SB Pr Col Kw Br Owala Lids - B0FMYQSPHC,10,unknown,,CPC,PAUSED,"=""553820293883634""",SB Pr Col Kw Br Owala Lids - B0FMYQSPHC,ENABLED,B0FMYSZ585,,,,,Top of Search on-Amazon,owala+lid+replacement,BROAD,owala replacement lids,owala replacement lids,0,,0,0,,,,,0,0.0,1,8.95,1,0.0,,,,1,,1,0,0.0,0,,1,0,9.25,,1,,,8.95,1,0.0,
USD,"Jan 24, 2026",4,1,2026,8,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,206589068159462,B0F74RXW97 - Ninja Blender Blade Replacement for 72 oz Pitcher,"=""540379563866839""",Sp Kw Br - B0F74RXW97,5,legacy,,CPC,ENABLED,"=""359441389050999""",Sp Kw Br - B0F74RXW97,ENABLED,B0F74RXW97,MO-5EME-L6U2,,,,Top of Search on-Amazon,,,ninja 72 oz blades,ninja 72 oz blades,0,,0,0,,,,,0,0.0,1,17.99,1,0.0,,,,0,,0,0,0.0,0,,0,0,17.66,,1,,,17.99,1,0.0,
USD,"Jan 25, 2026",4,1,2026,10,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,68925360001158,B0F74SWMRF - Ninja Blender Blade Replacement - 7-Fin,"=""37803562969861""",Sp Kw Br ninja blades replacement - B0F74SWMRF,5,legacy,,CPC,ENABLED,"=""300736397690508""",Sp Kw Br ninja blades replacement - B0F74SWMRF,ENABLED,B0F74SWMRF,MA-7YSQ-QFAK,,,,Other on-Amazon,,,original ninja replacement blades,original ninja replacement blades,0,,0,0,,,,,0,0.0,1,16.95,1,0.0,,,,0,,0,1,16.95,1,,0,0,16.62,,1,,,16.95,1,0.0,
USD,"Jan 20, 2026",4,1,2026,13,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,206589068159462,B0F74RXW97 - Ninja Blender Blade Replacement for 72 oz Pitcher,"=""540379563866839""",Sp Kw Br - B0F74RXW97,5,legacy,,CPC,ENABLED,"=""359441389050999""",Sp Kw Br - B0F74RXW97,ENABLED,B0F74RXW97,MO-5EME-L6U2,,,,Top of Search on-Amazon,,,ninja blender blade replacement for 72 oz pitcher 6 blade stainless steel ninja blender replacement,ninja blender blade replacement for 72 oz pitcher 6 blade stainless steel ninja blender replacement,0,,0,0,,,,,0,0.0,1,17.99,1,0.0,,,,0,,0,0,0.0,0,,0,0,17.67,,1,,,17.99,1,0.0,
USD,"Jan 20, 2026",4,1,2026,11,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,62486252007954,B0DLR5LQM1 - Scoring Tools,"=""547677472875661""",Sp Auto CM - B0DLR5LQM1,5,legacy,,CPC,ENABLED,"=""302678729613481""",Sp Auto - B0DLR5LQM1,ENABLED,B0DLR5LQM1,C8-QXEL-FB0G,,,,Top of Search on-Amazon,close-match,TARGETING_EXPRESSION_PREDEFINED,scoring tool,scoring tool,0,,0,0,,,,,0,0.0,1,5.95,1,0.0,,,,0,,0,0,0.0,0,,0,0,5.63,,1,,,5.95,1,0.0,
USD,"Jan 21, 2026",4,1,2026,11,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,164066805119664,B078WRV6W1 - Foldable Hair Brush Top,"=""555355422519387""",Sp Kw Scavenger - B078WRV6W1,5,legacy,,CPC,ENABLED,"=""542590697153392""",Sp Kw Scavenger - B078WRV6W1,ENABLED,B078WRV6W1,FD-8UKX-6LXG,,,,Other on-Amazon,hair brush,BROAD,hair brush,hair brush,0,,0,0,,,,,0,0.0,1,7.99,1,0.0,,,,0,,0,0,0.0,0,,0,0,7.65,,1,,,7.99,1,0.0,
CAD,"Jan 22, 2026",4,1,2026,20,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,70494018595470,B0FBRRRV8P - ear covers,"=""480964604294138""",Sp Kw Auto Cm - B0FBRRRV8P,5,legacy,,CPC,ENABLED,"=""315727858275355""",Sp Kw Auto Cm - B0FBRRRV8P,ENABLED,B0FBRRRV8P,3L-3PRI-C4CQ,,,,Top of Search on-Amazon,close-match,TARGETING_EXPRESSION_PREDEFINED,shower ear covers,shower ear covers,0,,0,0,,,,,0,0.0,1,11.99,1,0.0,,,,0,,0,0,0.0,0,,0,0,11.88,,1,,,11.99,1,0.0,
USD,"Jan 20, 2026",4,1,2026,12,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,90783874260603,B0FMYQSPHC -,"=""372701013925762""",Sp Kw Ex [Vykupy] owala top replacement - B0FMYQSPHC,10,legacy,,CPC,PAUSED,"=""536898274426393""",Sp Kw Ex [Vykupy] owala top replacement - B0FMYQSPHC -,ENABLED,B0FMYQSPHC,QH-2BSG-CAN2,,,,Top of Search on-Amazon,owala top replacement,EXACT,owala top replacement,owala top replacement,0,,0,0,,,,,0,0.0,1,8.95,1,0.0,,,,0,,0,1,8.95,1,,0,0,8.62,,1,,,8.95,1,0.0,
USD,"Jan 25, 2026",4,1,2026,19,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,23346572396872,B08V85NWJS - Foot Covers 200,"=""385062736732867""",Sp Kw Ex lotion socks - B08V85NWJS,2,legacy,,CPC,ENABLED,"=""388029381607431""",B08V85NWJS-SP-Ext-lotion socks,ENABLED,B08V85NWJS,W3-JH40-WU6D,,,,Top of Search on-Amazon,lotion socks,EXACT,lotion sock,lotion sock,0,,0,0,,,,,0,0.0,1,11.99,1,0.0,,,,0,,0,1,11.99,1,,0,0,11.99,,1,,,11.99,1,0.0,
