Budget currency,Date,Week,Month,Year,Hour,Advertiser account ID,Advertiser account name,Ad product,Portfolio ID,Portfolio name,Campaign ID,Campaign name,Campaign budget amount,Campaign delivery status,Campaign bid strategy,Campaign rule amount,Campaign cost type,Ad group ID,Ad group name,Ad group delivery status,Advertised product ID,Advertised product SKU,Placement Name,Placement size,Site or app,Placement classification,Target value,Target match type,Search term,Matched target,Impressions,Invalid impression rate,Clicks,Invalid clicks,Viewable CTR (vCTR),CTR,CPC,Viewable rate,Viewable impressions,Total cost,Purchases (all views),Sales (all views),Units sold (all views),Cost per purchase (all views),Purchase rate (all views),Purchase rate over clicks (all views),ROAS (all views),Purchases (new to brand),Purchase rate (new to brand),Detail page views,"Purchases (halo, all views)","Sales (halo, all views)","Units sold (halo, all views)",Detail page view rate,Add to cart,Add to list,Long-term sales,Long-term ROAS,Purchases (combined),ROAS (combined),ROAS from clicks (combined),Sales (combined),Units sold (combined),Cost per purchase (combined),Purchase rate (combined)
USD,"Jan 27, 2026",5,1,2026,17,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,137886423153913,B0776QYR57 - Nail Swatch Sticks 200Pcs,"=""462396908340020""",SPV Kw Ex Tos Ros- nail swatch stick - B0776QYR57,25,ENABLED,legacy,3750000,CPC,"=""540171739194466""",B0776QYR57-SP-Ext-nail swatch stick,ENABLED,B0776QYR57,JA-2HQA-0I4J,,,,Top of Search on-Amazon,nail swatch stick,EXACT,nail swatch sticks,nail swatch sticks,0,,0,0,,,,,0,0.0,1,7.95,1,0.0,,,,0,,0,0,0.0,0,,0,0,7.95,,1,,,7.95,1,0.0,
USD,"Jan 26, 2026",5,1,2026,10,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,75642055213466,B0B6FYGWS1 - Realistic Crab Toy,"=""386832428462588""",Sp Auto Tos - B0B6FYGWS1,5,ENABLED,legacy,,CPC,"=""418319939248292""",Sp Auto Tos - B0B6FYGWS1,ENABLED,B0B6FYGWS1,IA-0988-99K2,,,,Detail Page on-Amazon,close-match,TARGETING_EXPRESSION_PREDEFINED,crabs decor,crabs decor,0,,0,0,,,,,0,0.0,1,12.45,1,0.0,,,,0,,0,0,0.0,0,,0,0,12.03,,1,,,12.45,1,0.0,
USD,"Jan 21, 2026",4,1,2026,18,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,197265869679869,B08V7GSSYS - Defrosting Tray,"=""365191395086475""",Sp KW Ex rel cat - B08V7GSSYS,10,ENABLED,legacy,1500000,CPC,"=""533688988887401""",Sp KW Ex rel cat low bid - B08V7GSSYS,ENABLED,B08V7GSSYS,RM-7ZKA-A5LD,,,,Other on-Amazon,"keyword-group=""Keywords related to your product category""",TARGETING_EXPRESSION,large defrosting tray,large defrosting tray,0,,0,0,,,,,0,0.0,1,16.95,1,0.0,,,,0,,0,0,0.0,0,,0,0,16.53,,1,,,16.95,1,0.0,
USD,"Jan 25, 2026",4,1,2026,16,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,137886423153913,B0776QYR57 - Nail Swatch Sticks 200Pcs,"=""462396908340020""",SPV Kw Ex Tos Ros- nail swatch stick - B0776QYR57,25,ENABLED,legacy,3750000,CPC,"=""540171739194466""",B0776QYR57-SP-Ext-nail swatch stick,ENABLED,B0776QYR57,JA-2HQA-0I4J,,,,Detail Page on-Amazon,nail swatch stick,EXACT,nail swatch sticks,nail swatch sticks,0,,0,0,,,,,0,0.0,2,15.9,2,0.0,,,,0,,0,0,0.0,0,,0,0,15.14,,2,,,15.9,2,0.0,
USD,"Jan 22, 2026",4,1,2026,18,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,258730673842577,B0917J3DBG - Hose Clamp Pliers,"=""411090563081944""",Sp Kw Br +hose+clamp+pliers - B0917J3DBG,6,ENABLED,legacy,,CPC,"=""430105112312244""",Sp Kw Br +HOSE +CLAMP +PLIERS - B0917J3DBG,ENABLED,B0917J3DBG,ZP-NXDK-UGDV,,,,Top of Search on-Amazon,+hose+clamp+pliers,BROAD,pliers tool for removing radiator hose,pliers tool for removing radiator hose,0,,0,0,,,,,0,0.0,1,14.45,1,0.0,,,,0,,0,0,0.0,0,,0,0,14.02,,1,,,14.45,1,0.0,
USD,"Jan 23, 2026",4,1,2026,13,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,137886423153913,B0776QYR57 - Nail Swatch Sticks 200Pcs,"=""462396908340020""",SPV Kw Ex Tos Ros- nail swatch stick - B0776QYR57,25,ENABLED,legacy,3750000,CPC,"=""540171739194466""",B0776QYR57-SP-Ext-nail swatch stick,ENABLED,B0776QYR57,JA-2HQA-0I4J,,,,Top of Search on-Amazon,nail swatch stick,EXACT,nail swatch sticks,nail swatch sticks,0,,0,0,,,,,0,0.0,1,7.95,1,0.0,,,,0,,0,0,0.0,0,,0,0,7.55,,1,,,7.95,1,0.0,
USD,"Jan 25, 2026",4,1,2026,6,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,193806455870425,B089YTQ1RL - Plastic Bobbins 360,"=""337548307212359""",Sp Kw Ex - floss bobbins - B089YTQ1RL,5,ENABLED,legacy,,CPC,"=""316371355871265""",Exact,ENABLED,B089YTQ1RL,69-AUCB-U9L1,,,,Other on-Amazon,floss bobbins,EXACT,floss bobbins,floss bobbins,0,,0,0,,,,,0,0.0,1,9.95,1,0.0,,,,0,,0,0,0.0,0,,0,0,9.53,,1,,,9.95,1,0.0,
USD,"Jan 25, 2026",4,1,2026,14,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,168395887663498,B075R3XR7Y - 4Pcs Cocktail Spoon Long,"=""248883484112752""",Sp KW Ex Tos - bar spoon cocktail mixing spoon - B075R3XR7Y,5,ENABLED,legacy,,CPC,"=""180573581513880""",Exact,ENABLED,B075R3XR7Y,EM-5VD0-2FC5,,,,Top of Search on-Amazon,bar spoon cocktail mixing spoon,EXACT,bar spoon cocktail mixing spoon,bar spoon cocktail mixing spoon,0,,0,0,,,,,0,0.0,1,9.95,1,0.0,,,,0,,0,0,0.0,0,,0,0,9.53,,1,,,9.95,1,0.0,
USD,"Jan 26, 2026",5,1,2026,13,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,168395887663498,B075R3XR7Y - 4Pcs Cocktail Spoon Long,"=""314388380889725""",SP Kw Ex - cocktail stirrers - B075R3XR7Y,10,ENABLED,legacy,1500000,CPC,"=""398260292911631""",B075R3XR7Y-SP-Ext-cocktail stirrers,ENABLED,B075R3XR7Y,EM-5VD0-2FC5,,,,Top of Search on-Amazon,cocktail stirrers,EXACT,cocktail stirrers,cocktail stirrers,0,,0,0,,,,,0,0.0,1,9.95,1,0.0,,,,0,,0,0,0.0,0,,0,0,9.53,,1,,,9.95,1,0.0,
USD,"Jan 21, 2026",4,1,2026,15,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,151517480097056,B0CMQY8L5X - 100 Pcs Cross Nail Charms,"=""305720133121670""",SP Kw Br +nail+charms - B0CMQY8L5X,5,ENABLED,legacy,,CPC,"=""460082070452106""",SP Kw Br +nail+charms - B0CMQY8L5X,ENABLED,B0CMQY8L5X,BQ-OBU0-RU8S,,,,Detail Page on-Amazon,+nail+charms,BROAD,charms for nails,charms for nails,0,,0,0,,,,,0,0.0,1,6.99,1,0.0,,,,0,,0,0,0.0,0,,0,0,6.59,,1,,,6.99,1,0.0,
